########################################################################
# 12-phase3-enhancement-variances-data.txt — RAW DATA + FULL GO SOURCE
# Closes the open Phase-3 §4.2 enhancement variances with measurements:
#   Hamerly + previous-pixel coherence pruning, Morton/Z-order LUT layout,
#   SoA layout, and SIMD/AVX2 readiness. Plus the bit-identical alpha-drop
#   finding that fell out of the SoA probe and WAS shipped.
#
# Generated on go1.25.0 linux/amd64, nproc=4, GOMAXPROCS=4, shared container
# (NOISY: absolute ms swing run-to-run; this run carried -benchmem overhead and
# reads ~30-40% higher than a quiet run. Conclusions rest on RATIOS within one
# run, which are stable; see report 12 for the analysis).
#
# Image: docs/demo/inputs/starry.jpg (Van Gogh), opaque, ~207k px.
# Palettes: gameboy P4, pico8 P16, nes P64, lego P188 (all embedded).
#
# Variants measured (all standalone in this throwaway in-package test file,
# deleted after measurement so rejected code never ships):
#   AoS4ch     = shipped flat-Pix16 linear scan via indexRaw (4 channels) = BAR
#   Pal16_3ch  = indexRaw minus the alpha term, 16-bit promote + >>2 floor
#                kept (BIT-IDENTICAL to stdlib for opaque) -> SHIPPED
#   AoS3ch     = naive 8-bit int32, NO >>2 floor (NOT bit-identical; only
#                happens to match on this image) -> shown for contrast
#   SoA3ch     = AoS3ch but palette channels in separate slices (layout test)
#   Hamerly    = SoA + s(c) bound + previous-pixel coherence shortcut (exact)
#   LUTRowMajor / LUTMorton = 6-bit Fast LUT, row-major vs Z-order layout
#   KD         = shipped kd-tree (large-P reference)
#   Null       = read 4 bytes, write 0 (memory floor)
########################################################################

================= RAW: EXACTNESS GATE =================
    zz_variance_bench_test.go:339: nes P=64 (real img): SoA-8bit miss=0  Hamerly miss=0  pal16_3ch miss=0  coherence-hit=0.054
    zz_variance_bench_test.go:339: lego P=188 (real img): SoA-8bit miss=0  Hamerly miss=0  pal16_3ch miss=0  coherence-hit=0.136
--- PASS: TestVarianceExactness (1.29s)
PASS

================= RAW: BENCHMARKS (best-of-6, 300ms) =================
BenchmarkVar/Null-4         	    2718	    133133 ns/op	         0.6420 ns/px	       0 B/op	       0 allocs/op
				t[(ri*n+gi)*n+bi] = int32(indexRaw(rc, gc, bc, 255, tab))
			}
		}
	}
	return t
}

func buildLUTMorton[M any](p Palette[M], bits int) []int32 {
	tab := make([]pal16, len(p))
	for i, e := range p {
		tab[i] = pal16FromRGBA(e.R, e.G, e.B, 255)
	}
	n := 1 << bits
	shift := 8 - bits
	half := uint8(1 << (shift - 1))
	t := make([]int32, n*n*n)
	for ri := 0; ri < n; ri++ {
		rc := uint8(ri<<shift) + half
		for gi := 0; gi < n; gi++ {
			gc := uint8(gi<<shift) + half
			for bi := 0; bi < n; bi++ {
				bc := uint8(bi<<shift) + half
				t[mortonIdx(uint32(ri), uint32(gi), uint32(bi))] = int32(indexRaw(rc, gc, bc, 255, tab))
			}
		}
	}
	return t
}

func queryLUTRowMajor(t []int32, src *image.RGBA, bits int, out []int32) {
	shift := 8 - bits
	mask := (1 << bits) - 1
	nn := 1 << bits
	n := 0
	for so := 0; so < len(src.Pix); so += 4 {
		ri := (int(src.Pix[so]) >> shift) & mask
		gi := (int(src.Pix[so+1]) >> shift) & mask
		bi := (int(src.Pix[so+2]) >> shift) & mask
		out[n] = t[(ri*nn+gi)*nn+bi]
		n++
	}
}

func queryLUTMorton(t []int32, src *image.RGBA, bits int, out []int32) {
	shift := 8 - bits
	mask := uint32((1 << bits) - 1)
	n := 0
	for so := 0; so < len(src.Pix); so += 4 {
		ri := (uint32(src.Pix[so]) >> shift) & mask
		gi := (uint32(src.Pix[so+1]) >> shift) & mask
		bi := (uint32(src.Pix[so+2]) >> shift) & mask
		out[n] = t[mortonIdx(ri, gi, bi)]
		n++
	}
}

// ---- memory floor: read 4 bytes, write index, no matching ----
func scanNull(src *image.RGBA, out []int32) {
	n := 0
	for so := 0; so < len(src.Pix); so += 4 {
		out[n] = int32(src.Pix[so]) & 0
		n++
	}
}

// ---- exactness: Hamerly and SoA must match the shipped stdlib oracle ----
func TestVarianceExactness(t *testing.T) {
	img := benchImage(t)
	for _, name := range []string{"nes", "lego"} {
		pal := benchPal(t, name)
		tab := make([]pal16, len(pal))
		for i, e := range pal {
			tab[i] = pal16FromRGBA(e.R, e.G, e.B, 255)
		}
		total := len(img.Pix) / 4
		want := make([]int32, total)
		scanLinearAoS(pal, img, want)

		soa := make([]int32, total)
		scanLinearSoA(pal, img, soa)
		ham := make([]int32, total)
		hit := scanHamerly(pal, img, ham)
		p16 := make([]int32, total)
		scanLinearPal16_3ch(pal, img, p16)
		var soaMiss, hamMiss, p16Miss int
		for i := range want {
			if soa[i] != want[i] {
				soaMiss++
			}
			if ham[i] != want[i] {
				hamMiss++
			}
			if p16[i] != want[i] {
				p16Miss++
			}
		}
		t.Logf("%s P=%d (real img): SoA-8bit miss=%d  Hamerly miss=%d  pal16_3ch miss=%d  coherence-hit=%.3f",
			name, len(pal), soaMiss, hamMiss, p16Miss, hit)
		_ = tab

		// Adversarial: random noise is the hard case for the per-channel >>2
		// floor. pal16_3ch (the ship candidate) MUST be bit-identical here;
		// the 8-bit int32 SoA form is allowed to diverge (it does not floor).
		for _, seed := range []int64{1, 7, 99} {
			noise := randomImage(257, 263, seed)
			nt := len(noise.Pix) / 4
			w2 := make([]int32, nt)
			scanLinearAoS(pal, noise, w2) // stdlib-exact (indexRaw)
			g2 := make([]int32, nt)
			scanLinearPal16_3ch(pal, noise, g2)
			miss := 0
			for i := range w2 {
				if g2[i] != w2[i] {
					miss++
				}
			}
			if miss != 0 {
				t.Errorf("%s seed=%d: pal16_3ch NOT bit-identical on noise: %d/%d mismatches", name, seed, miss, nt)
			}
		}
	}
}

var sink int32

func benchScan(b *testing.B, fn func(out []int32), total int) {
	out := make([]int32, total)
	b.ResetTimer()
	for i := 0; i < b.N; i++ {
		fn(out)
	}
	b.StopTimer()
	sink += out[total/2]
	b.ReportMetric(float64(b.Elapsed().Nanoseconds())/float64(b.N)/float64(total), "ns/px")
}

func BenchmarkVar(b *testing.B) {
	img := benchImage(b)
	total := len(img.Pix) / 4
	nes := benchPal(b, "nes")   // P=64
	lego := benchPal(b, "lego") // P=188

	gameboy := benchPal(b, "gameboy") // P=4
	pico8 := benchPal(b, "pico8")     // P=16

	b.Run("Null", func(b *testing.B) { benchScan(b, func(o []int32) { scanNull(img, o) }, total) })

	// Small-P regime (the path that actually uses the linear scan today).
	for _, pp := range []struct {
		name string
		pal  Palette[EntryMeta]
	}{{"P4", gameboy}, {"P16", pico8}, {"P64", nes}} {
		pal := pp.pal
		b.Run("AoS4ch/"+pp.name, func(b *testing.B) { benchScan(b, func(o []int32) { scanLinearAoS(pal, img, o) }, total) })
		b.Run("AoS3ch/"+pp.name, func(b *testing.B) { benchScan(b, func(o []int32) { scanLinearAoS3(pal, img, o) }, total) })
		b.Run("SoA3ch/"+pp.name, func(b *testing.B) { benchScan(b, func(o []int32) { scanLinearSoA(pal, img, o) }, total) })
		b.Run("Pal16_3ch/"+pp.name, func(b *testing.B) { benchScan(b, func(o []int32) { scanLinearPal16_3ch(pal, img, o) }, total) })
	}
	b.Run("Hamerly/P64", func(b *testing.B) { benchScan(b, func(o []int32) { scanHamerly(nes, img, o) }, total) })

	b.Run("LinearAoS/P188", func(b *testing.B) { benchScan(b, func(o []int32) { scanLinearAoS(lego, img, o) }, total) })
	b.Run("LinearSoA/P188", func(b *testing.B) { benchScan(b, func(o []int32) { scanLinearSoA(lego, img, o) }, total) })
	b.Run("Hamerly/P188", func(b *testing.B) { benchScan(b, func(o []int32) { scanHamerly(lego, img, o) }, total) })

	// kd (shipped) for the large-P reference point.
	tree188 := buildKDTree(lego)
	b.Run("KD/P188", func(b *testing.B) {
		benchScan(b, func(o []int32) {
			var ks kdSearch
			n := 0
			for so := 0; so < len(img.Pix); so += 4 {
				o[n] = int32(tree188.match(&ks, img.Pix[so], img.Pix[so+1], img.Pix[so+2]))
				n++
			}
		}, total)
	})

	// LUT layouts (P-independent; use lego).
	rm := buildLUTRowMajor(lego, 6)
	mz := buildLUTMorton(lego, 6)
	b.Run("LUTRowMajor", func(b *testing.B) { benchScan(b, func(o []int32) { queryLUTRowMajor(rm, img, 6, o) }, total) })
	b.Run("LUTMorton", func(b *testing.B) { benchScan(b, func(o []int32) { queryLUTMorton(mz, img, 6, o) }, total) })
}
